InputID,MasterFrame,ID,Mag,Magerr,RA,Decl,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
10222-12701,1009016050876,7111800901621030366,13.71193,0.0529019564161335,43.09754,-8.51047,4.81,0,7111800901621,54422.3076864816,1.38,30,3212.46,3970.83,131715,374,0,8.3,3.62,5.42,0
10222-12701,1009016050876,7111800901631030469,13.718933,0.0529197228143947,43.09738,-8.51043,4.56,0,7111800901631,54422.3162762616,1.4,30,3202.54,3992.2,130865,363,0,8.1,3.584,5.35,0
10222-12701,1009016050876,7111800901641030480,13.712784,0.0529266943670914,43.09755,-8.51048,4.52,0,7111800901641,54422.3249288891,1.43,30,3227.31,3986.38,130534,363,0,8.3,3.636,5.43,0
10222-12701,1009016050876,7101100901611030617,13.710598,0.052843660408721,43.09742,-8.51044,4.52,0,7101100901611,54384.3559473148,1.36,30,3198.32,3986.99,134571,388,0,7.8,3.39,5.42,0
10222-12701,1009016050876,7101100901621030586,13.717759,0.0528583194972866,43.09741,-8.51042,4.55,0,7101100901621,54384.3629594678,1.35,30,3197.41,3966.15,133843,385,0,7.6,3.431,5.4,0
10222-12701,1009016050876,7101100901631034845,13.70712,0.0528402366449031,43.09741,-8.51044,4.41,0,7101100901631,54384.3699565856,1.35,30,3189.46,3989.09,134742,399,2,7.8,3.341,5.54,0
10222-12701,1009016050876,7101100901641033849,13.708829,0.0528349652965023,43.09751,-8.51047,4.58,0,7101100901641,54384.3769696644,1.35,30,3209.95,3984.05,135006,390,0,7.8,3.479,5.44,0
10222-12701,1009016050876,7101500901611030555,13.703692,0.0528707683287037,43.09743,-8.51044,5.08,0,7101500901611,54388.4158935417,1.43,30,3242.02,3951.58,133230,419,0,7.8,3.273,5.23,0
10222-12701,1009016050876,7101500901621030594,13.7031,0.0528822672069039,43.09745,-8.51043,4.8,0,7101500901621,54388.4256059374,1.46,30,3245.52,3929.38,132668,390,0,7.9,3.439,5.31,0
10222-12701,1009016050876,7101500901631030210,13.718533,0.0529210684522101,43.09753,-8.51044,5.1,0,7101500901631,54388.4353717016,1.51,30,3234.53,3950.67,130801,383,0,7.9,3.417,5.22,0
10222-12701,1009016050876,7101500901641029973,13.700221,0.0528979494903209,43.09742,-8.51044,4.94,0,7101500901641,54388.4450562154,1.56,30,3261.77,3945.11,131908,388,0,8.1,3.35,5.26,0
10222-12701,1009016050876,7091400901611033124,13.724695,0.0530206530840223,43.09745,-8.51045,5.22,0,7091400901611,54357.441656956,1.35,30,3139.04,4008.39,126208,376,0,7.5,3.439,5.36,0
10222-12701,1009016050876,7091400901621034126,13.722482,0.0530266762636479,43.09748,-8.51045,4.82,0,7091400901621,54357.4493130092,1.35,30,3141.24,3986.43,125939,401,0,8,3.499,5.53,0
10222-12701,1009016050876,7091400901631033957,13.724505,0.0530230239257088,43.09746,-8.51045,4.82,0,7091400901631,54357.4570181365,1.35,30,3131.4,4008.46,126102,394,0,7.8,3.451,5.44,0
10222-12701,1009016050876,7091400901641033703,13.725206,0.053021010730238,43.0975,-8.51043,4.98,0,7091400901641,54357.4646575232,1.35,30,3152.1,4002.75,126192,382,0,8,3.552,5.44,0
10222-12701,1009016050876,8120200901611035811,13.727788,0.0531498578341258,43.09749,-8.51046,4.47,0,8120200901611,54802.2326790509,1.35,30,3186.66,3997.98,120644,392,0,8,3.38,5.3,0
10222-12701,1009016050876,8120200901621034429,13.73396,0.0531703441513546,43.09755,-8.51046,4.93,0,8120200901621,54802.2387180091,1.35,30,3186.56,3977.09,119800,367,0,7.5,3.361,5.23,0
10222-12701,1009016050876,8120200901631035066,13.747493,0.0531462905045539,43.0975,-8.51048,4.78,0,8120200901631,54802.2446971298,1.35,30,3176.82,3999.03,120792,366,2,7.7,3.323,5.2,0
10222-12701,1009016050876,8120200901641034494,13.741906,0.0531106436244455,43.09741,-8.51044,4.53,0,8120200901641,54802.2507991665,1.36,30,3197.08,3993.45,122288,371,0,7.9,3.374,5.2,0
10222-12701,1009016050876,8020700901611024320,13.716653,0.0529377074819132,43.09754,-8.51044,5.2,0,8020700901611,54503.1287294906,1.55,30,3193.53,3952.91,130014,363,0,7.8,3.425,5.08,0
10222-12701,1009016050876,8020700901621026346,13.703474,0.0529242056005267,43.09745,-8.51043,4.93,0,8020700901621,54503.135760162,1.59,30,3199.81,3934.06,130652,349,2,7.8,3.447,5.12,0
10222-12701,1009016050876,8020700901631022257,13.706177,0.0529451623588802,43.09742,-8.51041,5.14,0,8020700901631,54503.1427886342,1.64,30,3187.65,3957.41,129664,367,0,7.3,3.319,4.99,0
10222-12701,1009016050876,8020700901641021484,13.706539,0.0529586460771653,43.09759,-8.51041,5.62,0,8020700901641,54503.1498482525,1.7,30,3212.79,3952.61,129035,374,2,8,3.151,4.77,0
10222-12701,1009016050876,8011300901611029088,13.713684,0.0532382457477146,43.09757,-8.5105,4.99,0,8011300901611,54478.0930507984,1.37,30,3166.06,4058.96,117073,360,0,7.6,3.521,5.04,0
10222-12701,1009016050876,8011300901621025507,13.690053,0.0534108082270232,43.09752,-8.51045,4.89,0,8011300901621,54478.097310266,1.36,30,3162.23,4039.09,110597,339,0,8.2,3.481,4.96,0
10222-12701,1009016050876,8011300901631025334,13.724418,0.0535583580543196,43.09739,-8.51048,4.77,0,8011300901631,54478.1016040044,1.36,30,3155.08,4063.82,105527,314,0,7.6,3.466,4.87,0
10222-12701,1009016050876,8011300901641023996,13.620178,0.0558890123601796,43.09765,-8.5105,5.08,0,8011300901641,54478.1058914815,1.35,30,3174.63,4060.28,58526.800781,191,2,7.5,3.207,3.9,0
10222-12701,1009016050876,8030100901611025088,13.74338,0.0544474683786531,43.09751,-8.5104,4.82,0,8030100901611,54526.0951034261,1.77,20,3277.82,3983.91,81836.898438,224,2,7.5,3.479,4.16,0
10222-12701,1009016050876,8030100901621025433,13.723797,0.0544594811869747,43.09739,-8.51049,4.55,0,8030100901621,54526.1006035881,1.83,20,3279.86,3965.59,81580,270,0,8,3.534,4.62,0
10222-12701,1009016050876,8030100901631025426,13.713689,0.054447901992258,43.09754,-8.51049,4.87,0,8030100901631,54526.1053618055,1.89,20,3269.3,3989.7,81827.601562,295,0,8.4,3.584,4.68,0
10222-12701,1009016050876,8030100901641025428,13.703495,0.0544275269181312,43.09744,-8.51043,4.67,0,8030100901641,54526.1099960647,1.95,20,3292.65,3988.75,82266.398438,284,2,8.4,3.512,4.7,0
10222-12701,1009016050876,8110200901611029780,13.724275,0.0529219942268632,43.09744,-8.51044,4.13,0,8110200901611,54772.3297088309,1.35,30,3151.55,3993.23,130757,372,0,8,3.501,5.44,0
10222-12701,1009016050876,8110200901621029937,13.724586,0.0529274121783483,43.09751,-8.51042,4.6,0,8110200901621,54772.3368265508,1.36,30,3151.85,3971.34,130500,378,0,8.3,3.429,5.39,0
10222-12701,1009016050876,8110200901631031855,13.719972,0.0529191974780612,43.09737,-8.51045,4.65,0,8110200901631,54772.3441556133,1.37,30,3144.81,3992.57,130890,386,0,8.5,3.359,5.27,0
10222-12701,1009016050876,8110200901641030214,13.738514,0.0529671275098328,43.0975,-8.51043,4.48,0,8110200901641,54772.3513934836,1.39,30,3166.19,3987.52,128642,359,0,7.8,3.394,5.31,0
10222-12701,1009016050876,8112000901611042445,13.735338,0.0528687919772023,43.09746,-8.51048,4.8,0,8112000901611,54790.2840489121,1.36,30,3170.62,4057.67,133327,368,0,8,3.282,5.2,0
10222-12701,1009016050876,8112000901621042499,13.723796,0.052841236981929,43.09743,-8.51047,4.68,0,8112000901621,54790.2913243864,1.36,30,3172.71,4035.98,134692,384,0,8.5,3.311,5.22,0
10222-12701,1009016050876,8112000901631042074,13.723942,0.0528441816280252,43.09746,-8.51044,4.6,0,8112000901631,54790.2985498612,1.38,30,3162.89,4057.45,134545,383,2,8.4,3.31,5.2,0
10222-12701,1009016050876,8112000901641042859,13.733402,0.0528609109217102,43.09751,-8.51048,4.82,0,8112000901641,54790.3057676968,1.4,30,3183.55,4051.7,133715,382,2,8.2,3.333,5.19,0
10222-12701,1009016050876,8100900901611030058,13.72626,0.0528825957877971,43.09742,-8.51042,4.41,0,8100900901611,54748.3688862384,1.35,30,3108.67,4035.35,132652,372,2,7.2,3.437,5.38,0
10222-12701,1009016050876,8100900901621029930,13.723677,0.052866635042605,43.09746,-8.51045,4.5,0,8100900901621,54748.3781489697,1.35,30,3106.92,4011.34,133433,369,2,8,3.355,5.27,0
10222-12701,1009016050876,8100900901641030047,13.737863,0.0529004812072642,43.09748,-8.51047,4.49,0,8100900901641,54748.3963385299,1.35,30,3120.04,4022.68,131786,359,0,7.9,3.452,5.34,0
10222-12701,1009016050876,8102600901611030946,13.742466,0.0528591086260524,43.09743,-8.51046,5.01,0,8102600901611,54765.3060248033,1.37,30,3122.99,4026.62,133804,372,2,7.8,3.388,5.24,0
10222-12701,1009016050876,8102600901621029415,13.737088,0.0528490814174731,43.09749,-8.51046,4.61,0,8102600901621,54765.3146374999,1.36,30,3123.46,4002.98,134301,376,0,8.4,3.362,5.39,0
10222-12701,1009016050876,8102600901631029106,13.701299,0.0527643697951438,43.09743,-8.51047,4.61,0,8102600901631,54765.3232659376,1.35,30,3113.59,4022.85,138628,396,0,7.7,3.369,5.32,0
10222-12701,1009016050876,8102600901641031927,13.724325,0.0528131687190854,43.0974,-8.51046,4.41,0,8102600901641,54765.3317942591,1.35,30,3137.32,4015.8,136107,381,0,8,3.421,5.3,0
10222-12701,1009016050876,8092700901611038759,13.730112,0.0529019148424742,43.09753,-8.51043,4.51,0,8092700901611,54736.4115620949,1.35,30,3232.41,3991.05,131717,391,0,8.5,3.513,5.51,0
10222-12701,1009016050876,8092700901621038408,13.713635,0.0528526653995331,43.09751,-8.51047,4.61,0,8092700901621,54736.4188023843,1.35,30,3233.64,3969.99,134123,396,2,7.4,3.42,5.51,0
10222-12701,1009016050876,8092700901631042972,13.740862,0.0528141520790141,43.09743,-8.51043,4.7,0,8092700901631,54736.4260765854,1.35,30,3222.11,3991.9,136057,394,0,7.9,3.397,5.4,0
10222-12701,1009016050876,8092700901641034702,13.780366,0.0536298982730437,43.09744,-8.51041,4.53,0,8092700901641,54736.4333292591,1.36,30,3246.92,3986.36,103209,327,0,7.7,3.532,5.08,0
10222-12701,1009016050876,8092800901611038142,13.734919,0.0528924639418705,43.09748,-8.51045,4.69,0,8092800901611,54737.4418613543,1.38,30,3246.94,4032.8,132173,387,2,8,3.433,5.33,0
10222-12701,1009016050876,8092800901621038538,13.711309,0.0528410768856385,43.09749,-8.51049,4.57,0,8092800901621,54737.4490501387,1.39,30,3247.14,4011.28,134700,388,0,7.7,3.428,5.3,0
10222-12701,1009016050876,8092800901631037093,13.733961,0.0528888722551188,43.09745,-8.51043,4.82,0,8092800901631,54737.4563140511,1.41,30,3238.94,4033.34,132347,378,2,8,3.505,5.36,0
10222-12701,1009016050876,8092800901641034009,13.729176,0.0528968094422601,43.09749,-8.5105,4.54,0,8092800901641,54737.4634947223,1.44,30,3262.91,4028.03,131963,377,0,7.9,3.4,5.4,0
10222-12701,1009016050876,9121700901611035652,13.732743,0.0529775463833004,43.0974,-8.51047,4.77,0,9121700901611,55182.1551666898,1.39,30,3127.49,4005.58,128162,365,0,7.6,3.662,5.24,0
10222-12701,1009016050876,9121700901621035190,13.725678,0.0529589905205304,43.09747,-8.51048,4.53,0,9121700901621,55182.1609274191,1.37,30,3126.62,3984.16,129019,367,2,7.9,3.52,5.32,0
