oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
748215300029094,147928354,2459233.7886565620,59233.283541700000,15.2602377,0.0106973378,0,zr,117.96619490000000,49.814322500000000,2.66499996,0.243,20210119283542,748,15,3,21.4799995,26.2978249,0.0209122915,0.0875872970,0.000006461754,30.0,1.05599999,3
748215300029094,147928871,2459233.7938300925,59233.288715300000,15.2113943,0.0106543712,0,zr,117.96619580000000,49.814326900000000,2.54299998,0.264,20210119288715,748,15,3,21.3500004,26.2918797,0.0218543857,0.0931544676,0.000007039665,30.0,1.05100000,2
748215300029094,147928965,2459233.7947675810,59233.289652800000,15.2143831,0.0106568895,0,zr,117.96620850000000,49.814308600000000,3.12299991,0.358,20210119289641,748,15,3,21.3199997,26.2938728,0.0217948128,0.0919552669,0.000006968678,30.0,1.04999995,1
748215300029094,149424262,2459248.7473714375,59248.242627300000,15.2194500,0.0106611922,0,zr,117.96621920000000,49.814354700000000,2.55500007,0.307,20210203242627,748,15,3,21.1000004,26.1789951,0.0228447467,0.0903578028,0.000007705142,30.0,1.05599999,3
748215300029094,149534276,2459249.8474702267,59249.342766200000,15.1555567,0.0106098512,0,zr,117.96616520000000,49.814350500000000,2.39100003,0.033,20210204342755,748,15,3,20.0400009,25.9890270,0.0321745090,0.1005474925,0.000015444823,30.0,1.07599998,1
748215300029094,149534370,2459249.8484076920,59249.343703700000,15.1622601,0.0106149446,0,zr,117.96618640000000,49.814353000000000,2.65400004,0.044,20210204343704,748,15,3,19.9500008,25.9337654,0.0309371985,0.0984105542,0.000014170470,30.0,1.07700002,3
748215300029094,149622751,2459250.7321821490,59250.227511600000,15.1783171,0.0106274188,0,zr,117.96621190000000,49.814347000000000,2.34200001,0.072,20210205227512,748,15,3,20.9099998,26.3148556,0.0248366352,0.0943304598,0.000009260078,30.0,1.06700003,3
748215300029094,149721768,2459251.7223169794,59251.217685200000,15.1798105,0.0106285987,0,zr,117.96615100000000,49.814352200000000,3.37700009,0.279,20210206217685,748,15,3,21.5000000,26.3092518,0.0211125668,0.0944331139,0.000006568049,30.0,1.07700002,1
748215300029094,149722587,2459251.7305110577,59251.225879600000,15.2010040,0.0106457211,0,zr,117.96618640000000,49.814320200000000,2.51799989,0.300,20210206225856,748,15,3,21.5400009,26.3145409,0.0220844690,0.0907347798,0.000007244085,30.0,1.06599998,3
748215300029094,149820041,2459252.7050086620,59252.200416700000,15.1626348,0.0106152305,0,zr,117.96626200000000,49.814369300000000,3.74600005,0.389,20210207200417,748,15,3,21.7800007,26.3159924,0.0238340925,0.0895014107,0.000008411433,30.0,1.10300004,3
748215300029094,149931778,2459253.8223344926,59253.317789400000,15.2247114,0.0106657054,0,zr,117.96615070000000,49.814313500000000,3.41300011,0.375,20210208317789,748,15,3,21.4500008,26.2923546,0.0191212539,0.0899044201,0.000005488112,30.0,1.05700004,3
748215300029094,149931872,2459253.8232719520,59253.318726900000,15.1219854,0.0105853509,0,zr,117.96620540000000,49.814336400000000,3.50200009,0.262,20210208318727,748,15,3,21.5799999,26.2883606,0.0203490108,0.0935947001,0.000006219342,30.0,1.05799997,1
748215300029094,150019127,2459254.6957803590,59254.191273100000,15.1714172,0.0106220106,0,zr,117.96622950000000,49.814361100000000,3.37199998,0.284,20210209191273,748,15,3,21.6599998,26.3208389,0.0216058102,0.0851834044,0.000006902392,30.0,1.11000001,3
748215300029094,150222358,2459256.7280033140,59256.223588000000,15.0803432,0.0105572315,0,zr,117.96620850000000,49.814318200000000,3.19899988,0.207,20210211223588,748,15,3,21.7399998,26.2885914,0.0222629532,0.0883526579,0.000007351685,30.0,1.05299997,3
748215300029094,150322261,2459257.7269838136,59257.222615700000,15.1908951,0.0106374687,0,zr,117.96618860000000,49.814315300000000,2.49200010,0.228,20210212222616,748,15,3,21.8299999,26.3213272,0.0216343328,0.0828055665,0.000006983920,30.0,1.05100000,3
748215300029094,150322355,2459257.7279212650,59257.223553200000,15.1596317,0.0106129386,0,zr,117.96612880000000,49.814356400000000,3.77900004,0.299,20210212223553,748,15,3,21.9599991,26.3299904,0.0216014069,0.0805484280,0.000006914342,30.0,1.04999995,1
748215300029094,150624452,2459260.7487430340,59260.244525500000,15.1348104,0.0105945133,0,zr,117.96620930000000,49.814332400000000,3.22300005,0.352,20210215244525,748,15,3,20.9899998,26.2296295,0.0226193350,0.0946019739,0.000007557609,30.0,1.03400004,3
748215300029094,150822302,2459262.7271335620,59262.223020800000,15.1777582,0.0106269801,0,zr,117.96622840000000,49.814329200000000,2.74200010,0.277,20210217223009,748,15,3,21.0300007,26.1634064,0.0223572720,0.0980422571,0.000007377931,30.0,1.03999996,3
748215300029094,150822395,2459262.7280710130,59262.223958300000,15.2373819,0.0106767528,0,zr,117.96624470000000,49.814301800000000,3.47600007,0.286,20210217223958,748,15,3,20.9599991,26.1591969,0.0207727719,0.0904768035,0.000006378317,30.0,1.03999996,1
748215300029094,150924436,2459263.7484202150,59263.244363400000,14.9251223,0.0104730902,0,zr,117.96616330000000,49.814375800000000,0.90100002,-0.032,20210218244363,748,15,3,19.3899994,26.3371162,0.0394620001,0.1008971855,0.000026263366,30.0,1.03299999,3
748215300029094,151021692,2459264.7209236976,59264.216921300000,15.1495800,0.0106053669,0,zr,117.96625300000000,49.814311800000000,3.25600004,0.267,20210219216921,748,15,3,21.4200001,26.3345509,0.0221597552,0.0922734141,0.000007172154,30.0,1.04100001,3
748215300029094,151021785,2459264.7218611427,59264.217858800000,15.1746073,0.0106245019,0,zr,117.96624410000000,49.814346400000000,2.86500001,0.300,20210219217859,748,15,3,21.4599991,26.3386383,0.0222353265,0.0901067108,0.000007243046,30.0,1.03999996,1
748215300029094,151121490,2459265.7188528017,59265.214907400000,15.1725149,0.0106228665,0,zr,117.96623830000000,49.814332300000000,2.46000004,0.210,20210220214907,748,15,3,21.2800007,26.3435440,0.0221918654,0.0887191966,0.000007440340,30.0,1.03999996,3
748215300029094,151224655,2459266.7504361803,59266.246550900000,15.0658360,0.0105480095,0,zr,117.96620600000000,49.814357600000000,2.26300001,0.026,20210221246458,748,15,3,20.0799999,26.3206539,0.0335895419,0.1002817973,0.000016933218,30.0,1.03400004,1
748215300029094,151224701,2459266.7508991540,59266.247013900000,15.1191082,0.0105833272,0,zr,117.96620430000000,49.814331200000000,2.65899992,0.063,20210221247014,748,15,3,20.2800007,26.3250637,0.0271835718,0.0936607271,0.000011181333,30.0,1.03400004,3
748215300029094,151326656,2459267.7703871517,59267.266562500000,15.0109987,0.0105157485,0,zr,117.96623160000000,49.814440400000000,3.07500005,0.003,20210222266123,748,15,3,19.8299999,26.3288231,0.0381551497,0.1083921939,0.000022001263,30.0,1.04499996,3
748215300029094,151425670,2459268.7604661053,59268.256701400000,15.1301022,0.0105911223,0,zr,117.96618480000000,49.814345500000000,2.46499991,0.195,20210223256690,748,15,3,20.7299995,26.3240967,0.0243506059,0.0997506231,0.000009005621,30.0,1.03999996,1
748215300029094,151425815,2459268.7619243176,59268.258159700000,15.1086807,0.0105760964,0,zr,117.96625450000000,49.814368400000000,3.24099994,0.238,20210223258148,748,15,3,20.7199993,26.3336258,0.0247338098,0.0983860269,0.000009283371,30.0,1.04100001,3
748215300029094,151530405,2459269.8077510144,59269.304050900000,15.1564779,0.0106105460,0,zr,117.96615120000000,49.814341800000000,4.12500000,0.505,20210224304016,748,15,3,20.3600006,26.3116550,0.0307720322,0.0955643430,0.000014356902,30.0,1.10300004,3
748215300029094,151629956,2459270.8031978514,59270.299560200000,15.1503201,0.0106059201,0,zr,117.96621180000000,49.814347600000000,2.37800002,0.270,20210225299560,748,15,3,20.0300007,26.2994137,0.0336016864,0.0977687314,0.000017049259,30.0,1.10000002,1
748215300029094,151630144,2459270.8050843314,59270.301446800000,15.1707506,0.0106214909,0,zr,117.96617640000000,49.814309300000000,2.29399991,0.159,20210225301435,748,15,3,20.0400009,26.3158798,0.0304184798,0.0960123390,0.000014086393,30.0,1.10300004,3
748215300029094,151726313,2459271.7667128104,59271.263136600000,15.1476822,0.0106039541,0,zr,117.96620380000000,49.814331700000000,2.46099997,0.310,20210226263137,748,15,3,20.2199993,26.3296432,0.0280597452,0.0951324403,0.000012116389,30.0,1.05200005,3
748215300029094,151822476,2459272.7282824353,59272.224768500000,15.1558657,0.0106100840,0,zr,117.96622370000000,49.814331900000000,2.54200006,0.249,20210227224769,748,15,3,20.0100002,26.3080196,0.0308287479,0.0915061608,0.000014436758,30.0,1.03299999,3
748215300029094,151822570,2459272.7292198744,59272.225706000000,15.1740627,0.0106240762,0,zr,117.96624640000000,49.814346200000000,2.97499990,0.259,20210227225706,748,15,3,20.1200008,26.3142414,0.0289322734,0.0988740474,0.000012617222,30.0,1.03299999,1
748215300029094,151922361,2459273.7270593550,59273.223611100000,15.1558352,0.0106100608,0,zr,117.96621700000000,49.814329700000000,2.35400009,0.104,20210228223600,748,15,3,20.0200005,26.2799129,0.0330672488,0.0987417549,0.000016443744,30.0,1.03299999,3
748215300029094,152034946,2459274.8528405842,59274.349467600000,14.9933643,0.0105062220,0,zr,117.96613140000000,49.814366900000000,1.80400002,-0.076,20210301349468,748,15,3,19.3199997,26.2806244,0.0433681868,0.1075450853,0.000031833719,30.0,1.28199995,3
748215300029094,152035040,2459274.8537780233,59274.350405100000,15.0097294,0.0105150500,0,zr,117.96617950000000,49.814347600000000,1.62199998,-0.002,20210301350405,748,15,3,19.2700005,26.2789936,0.0399287939,0.0996952727,0.000028837592,30.0,1.28600001,1
748215300029094,152128494,2459275.7882516817,59275.284942100000,15.1107101,0.0105774924,0,zr,117.96614610000000,49.814350500000000,2.36400008,0.097,20210302284907,748,15,3,20.2999992,26.3018723,0.0271974262,0.1051970348,0.000011120830,30.0,1.09800005,3
