JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2459048.844,2020-07-18.3430478,bC,1.4,17.266,15.306,0.036,2.738,0.09,g
2459050.835,2020-07-20.3343402,bC,1.58,17.237,15.325,0.037,2.692,0.093,g
2459051.791,2020-07-21.2906483,bD,1.5,17.279,15.338,0.037,2.659,0.089,g
2459051.793,2020-07-21.2919453,bD,1.47,99.99,99.99,99.99,99.99,99.99,g
2459051.794,2020-07-21.2932344,bD,1.48,17.193,15.396,0.042,2.521,0.096,g
2459053.72,2020-07-23.2193717,bt,1.45,99.99,99.99,99.99,99.99,99.99,g
2459053.721,2020-07-23.2205855,bt,1.51,99.99,99.99,99.99,99.99,99.99,g
2459053.722,2020-07-23.2218048,bt,1.47,99.99,99.99,99.99,99.99,99.99,g
2459053.826,2020-07-23.3254758,bC,1.39,17.193,15.251,0.036,2.883,0.096,g
2459053.827,2020-07-23.3267502,bC,1.39,17.151,15.325,0.041,2.691,0.1,g
2459053.829,2020-07-23.3280275,bC,1.39,17.22,15.354,0.039,2.62,0.094,g
2459054.716,2020-07-24.2150093,bt,1.57,16.915,15.313,0.05,2.723,0.125,g
2459054.717,2020-07-24.2162277,bt,1.55,99.99,99.99,99.99,99.99,99.99,g
2459054.718,2020-07-24.2174438,bt,1.54,16.871,15.312,0.052,2.724,0.13,g
2459055.751,2020-07-25.2502215,bs,1.45,99.99,99.99,99.99,99.99,99.99,g
2459055.752,2020-07-25.2514504,bs,1.45,99.99,99.99,99.99,99.99,99.99,g
2459055.753,2020-07-25.2526656,bs,1.48,99.99,99.99,99.99,99.99,99.99,g
2459056.764,2020-07-26.2635895,bt,1.43,16.811,15.403,0.06,2.504,0.137,g
2459056.765,2020-07-26.2648092,bt,1.51,16.843,15.309,0.053,2.732,0.133,g
2459056.766,2020-07-26.266025,bt,1.46,16.767,15.299,0.057,2.757,0.143,g
2459058.699,2020-07-28.1987763,bt,1.43,16.595,15.308,0.067,2.734,0.167,g
2459058.7,2020-07-28.1999936,bt,1.44,16.502,15.347,0.076,2.639,0.182,g
2459058.701,2020-07-28.2012271,bt,1.5,16.601,15.187,0.059,3.057,0.166,g
2459059.687,2020-07-29.1867197,bt,1.97,16.262,15.295,0.09,2.767,0.227,g
2459059.688,2020-07-29.1879344,bt,1.81,16.342,15.243,0.08,2.903,0.211,g
2459059.689,2020-07-29.1891517,bt,1.62,16.391,15.306,0.081,2.739,0.202,g
2459061.791,2020-07-31.2913812,bD,1.48,16.614,15.315,0.066,2.717,0.164,g
2459061.793,2020-07-31.2926988,bD,1.5,16.552,15.51,0.084,2.27,0.174,g
2459061.794,2020-07-31.2939839,bD,1.49,16.555,15.372,0.074,2.578,0.173,g
2459062.741,2020-08-01.2407075,bt,1.57,15.894,15.176,0.113,3.087,0.319,g
2459062.742,2020-08-01.2419394,bt,1.49,15.929,15.082,0.1,3.366,0.309,g
2459062.743,2020-08-01.2431594,bt,1.58,15.872,15.237,0.122,2.92,0.325,g
2459063.658,2020-08-02.1582371,bt,1.43,15.966,15.583,0.154,2.123,0.298,g
2459063.659,2020-08-02.1594517,bt,1.52,15.815,15.136,0.117,3.205,0.343,g
2459063.661,2020-08-02.1606699,bt,1.48,15.912,15.222,0.116,2.961,0.314,g
2459063.785,2020-08-02.2855369,bC,2.06,14.625,>14.625,99.99,3.885,1.028,g
2459064.782,2020-08-03.2825682,bC,1.41,16.439,15.347,0.08,2.638,0.193,g
2459064.784,2020-08-03.2838535,bC,1.47,16.738,15.303,0.058,2.747,0.147,g
2459064.785,2020-08-03.2851440,bC,1.42,16.541,15.381,0.075,2.557,0.176,g
2459065.698,2020-08-04.1980150,bs,1.49,16.035,15.427,0.125,2.449,0.28,g
2459065.699,2020-08-04.1992222,bs,1.41,16.076,15.313,0.108,2.724,0.27,g
2459065.7,2020-08-04.2004395,bs,1.45,16.024,15.463,0.131,2.371,0.283,g
2459066.701,2020-08-05.2012672,bs,1.44,16.21,15.256,0.091,2.869,0.238,g
2459066.702,2020-08-05.2024774,bs,1.52,16.178,15.606,0.129,2.079,0.246,g
2459066.703,2020-08-05.2037013,bs,1.41,16.143,15.393,0.11,2.529,0.254,g
2459068.699,2020-08-07.1996662,bs,1.44,16.401,15.212,0.073,2.986,0.2,g
2459068.7,2020-08-07.2008774,bs,1.41,16.497,15.298,0.073,2.762,0.183,g
2459068.702,2020-08-07.2020946,bs,1.44,16.358,15.417,0.092,2.474,0.208,g
2459068.84,2020-08-07.3399266,bD,1.48,16.798,15.254,0.053,2.875,0.139,g
2459068.841,2020-08-07.3411625,bD,1.48,16.812,15.328,0.056,2.686,0.137,g
2459068.842,2020-08-07.3424065,bD,1.49,16.752,15.27,0.056,2.831,0.145,g
2459069.676,2020-08-08.1761601,bt,1.46,16.843,15.303,0.053,2.747,0.133,g
2459069.677,2020-08-08.1773761,bt,1.49,16.877,15.315,0.052,2.718,0.129,g
2459069.678,2020-08-08.1785935,bt,1.5,16.879,15.45,0.059,2.399,0.129,g
2459069.691,2020-08-08.1910519,bs,1.46,16.921,15.267,0.048,2.84,0.124,g
2459069.692,2020-08-08.1922704,bs,1.39,16.941,15.387,0.052,2.541,0.122,g
2459069.693,2020-08-08.1934880,bs,1.45,16.959,15.322,0.048,2.701,0.12,g
2459070.689,2020-08-09.1899392,bs,1.62,99.99,99.99,99.99,99.99,99.99,g
2459070.691,2020-08-09.1911611,bs,1.61,99.99,99.99,99.99,99.99,99.99,g
2459070.692,2020-08-09.1923787,bs,1.6,99.99,99.99,99.99,99.99,99.99,g
2459070.795,2020-08-09.2952803,bD,1.5,17.173,15.275,0.038,2.818,0.098,g
2459070.796,2020-08-09.2965270,bD,1.51,17.296,15.296,0.035,2.765,0.088,g
2459070.797,2020-08-09.2977687,bD,1.5,17.066,15.347,0.045,2.636,0.108,g
2459072.773,2020-08-11.2734061,bC,1.39,17.196,15.341,0.04,2.652,0.096,g
2459072.774,2020-08-11.2746576,bC,1.41,17.251,15.333,0.037,2.672,0.091,g
2459072.775,2020-08-11.2758966,bC,1.41,17.312,15.287,0.034,2.787,0.086,g
2459072.788,2020-08-11.2884859,bD,1.45,17.18,15.284,0.038,2.795,0.098,g
2459072.789,2020-08-11.2897299,bD,1.44,17.143,15.279,0.039,2.808,0.101,g
2459072.79,2020-08-11.2909680,bD,1.47,17.307,15.311,0.035,2.726,0.087,g
2459073.658,2020-08-12.1587165,bs,1.47,17.118,15.281,0.04,2.803,0.103,g
2459073.659,2020-08-12.1599606,bs,1.48,17.116,15.302,0.041,2.747,0.104,g
2459073.66,2020-08-12.1611901,bs,1.51,17.124,15.279,0.04,2.807,0.103,g
2459073.706,2020-08-12.2070739,bt,1.56,16.85,15.296,0.052,2.764,0.132,g
2459073.708,2020-08-12.2082945,bt,1.54,16.892,15.212,0.046,2.988,0.127,g
2459073.709,2020-08-12.2095127,bt,1.52,16.911,15.394,0.054,2.527,0.125,g
2459074.679,2020-08-13.1796973,bs,1.42,17.093,15.39,0.045,2.536,0.106,g
2459074.68,2020-08-13.1809142,bs,1.43,17.057,15.263,0.042,2.849,0.109,g
2459074.681,2020-08-13.1821478,bs,1.45,17.086,15.323,0.043,2.696,0.107,g
2459075.675,2020-08-14.1758839,bs,1.48,17.084,15.414,0.047,2.481,0.107,g
2459075.676,2020-08-14.1771079,bs,1.5,17.165,15.338,0.041,2.66,0.099,g
2459075.677,2020-08-14.1783436,bs,1.45,17.07,15.371,0.046,2.58,0.108,g
2459077.67,2020-08-16.1705788,bs,1.51,17.152,15.343,0.041,2.647,0.1,g
2459077.671,2020-08-16.1717991,bs,1.5,17.058,15.388,0.047,2.54,0.109,g
2459077.672,2020-08-16.1730150,bs,1.46,17.031,15.318,0.045,2.709,0.112,g
2459077.758,2020-08-16.2592817,bD,1.44,17.211,15.234,0.035,2.927,0.095,g
2459077.76,2020-08-16.2605188,bD,1.47,17.335,15.341,0.035,2.654,0.085,g
2459077.761,2020-08-16.2617606,bD,1.45,17.194,15.323,0.039,2.696,0.096,g
