JD,UT Date,Camera,FWHM,Limit,Mag,Mag Error,flux(mJy),flux_err,Filter
2458165.973,2018-02-16.4715916,bt,1.46,16.629,15.358,0.068,2.609,0.162,g
2458165.974,2018-02-16.4728164,bt,1.5,16.562,15.406,0.075,2.496,0.172,g
2458165.975,2018-02-16.4740376,bt,1.49,16.543,15.217,0.064,2.973,0.176,g
2458166.985,2018-02-17.4838056,bt,1.55,16.945,15.172,0.043,3.099,0.121,g
2458166.986,2018-02-17.4850372,bt,1.58,16.951,15.242,0.045,2.907,0.121,g
2458166.988,2018-02-17.4865550,bt,1.61,17.026,15.286,0.044,2.791,0.112,g
2458168.019,2018-02-18.5173892,bc,1.62,16.616,14.886,0.044,4.26,0.173,V
2458168.02,2018-02-18.5186634,bc,1.55,16.46,14.868,0.05,4.334,0.201,V
2458168.892,2018-02-19.3905217,bh,1.35,16.23,14.873,0.063,4.311,0.247,V
2458168.893,2018-02-19.3917896,bh,1.35,16.236,14.933,0.066,4.081,0.246,V
2458168.894,2018-02-19.3930541,bh,1.34,16.151,14.839,0.065,4.451,0.266,V
2458168.969,2018-02-19.4672760,bt,1.6,17.141,15.279,0.039,2.809,0.101,g
2458168.97,2018-02-19.4685054,bt,1.52,17.191,15.329,0.039,2.681,0.097,g
2458168.971,2018-02-19.4697362,bt,1.53,17.124,15.301,0.041,2.752,0.103,g
2458169.966,2018-02-20.4649517,bt,1.69,17.2,15.341,0.039,2.654,0.096,g
2458169.968,2018-02-20.4662864,bt,1.64,17.196,15.257,0.037,2.866,0.096,g
2458169.969,2018-02-20.4679118,bt,1.63,17.112,15.228,0.039,2.942,0.104,g
2458170.962,2018-02-21.4602839,bt,2.37,16.986,15.172,0.041,3.099,0.117,g
2458170.963,2018-02-21.4615055,bt,2.3,17.038,15.236,0.041,2.923,0.111,g
2458170.964,2018-02-21.4627210,bt,2.39,17.133,15.223,0.038,2.956,0.102,g
2458171.885,2018-02-22.3838744,bk,1.42,17.02,15.273,0.044,2.822,0.113,g
2458171.977,2018-02-22.4758699,bt,1.64,17.179,15.207,0.035,3.002,0.098,g
2458171.979,2018-02-22.4770795,bt,1.64,17.09,15.226,0.039,2.948,0.106,g
2458171.98,2018-02-22.4782960,bt,1.64,17.149,15.276,0.039,2.817,0.1,g
2458172.97,2018-02-23.4687704,bt,1.51,17.071,15.305,0.043,2.74,0.108,g
2458172.972,2018-02-23.4699834,bt,1.49,17.061,15.323,0.044,2.697,0.109,g
2458172.973,2018-02-23.4711989,bt,1.49,17.033,15.317,0.045,2.711,0.112,g
2458173.95,2018-02-24.4478141,bt,1.49,17.195,15.319,0.039,2.706,0.096,g
2458173.951,2018-02-24.4491466,bt,1.46,17.202,15.244,0.036,2.899,0.096,g
2458173.952,2018-02-24.4504089,bt,1.52,17.187,15.292,0.038,2.777,0.097,g
2458174.903,2018-02-25.4009993,bh,1.53,15.895,14.841,0.083,4.44,0.337,V
2458174.904,2018-02-25.4022738,bh,1.51,15.81,14.949,0.099,4.018,0.364,V
2458174.905,2018-02-25.4035546,bh,1.55,15.402,14.768,0.122,4.751,0.53,V
2458174.941,2018-02-25.4391900,bt,1.71,17.219,15.267,0.036,2.84,0.094,g
2458174.942,2018-02-25.4404064,bt,1.73,17.256,15.292,0.036,2.775,0.091,g
2458174.943,2018-02-25.4416239,bt,1.66,17.174,15.313,0.039,2.722,0.098,g
2458175.902,2018-02-26.4002229,bh,1.35,16.072,14.982,0.08,3.903,0.286,V
2458175.903,2018-02-26.4014952,bh,1.4,15.82,14.781,0.084,4.696,0.361,V
2458175.905,2018-02-26.4027721,bh,1.37,15.599,15.132,0.143,3.398,0.442,V
2458176.626,2018-02-27.1243019,bo,1.41,99.99,99.99,99.99,99.99,99.99,g
2458176.627,2018-02-27.1255077,bo,1.47,17.105,15.282,0.041,2.801,0.105,g
2458176.629,2018-02-27.1267245,bo,1.49,17.107,15.307,0.042,2.738,0.104,g
2458176.874,2018-02-27.3725268,bl,1.66,16.983,15.351,0.049,2.627,0.117,g
2458176.876,2018-02-27.3737476,bl,1.63,17.072,15.274,0.042,2.822,0.108,g
2458176.877,2018-02-27.3749648,bl,1.61,17.022,15.286,0.044,2.79,0.113,g
2458177.61,2018-02-28.1084678,bo,1.44,17.018,15.317,0.046,2.71,0.113,g
2458177.612,2018-02-28.1096877,bo,1.5,17.005,15.292,0.045,2.774,0.115,g
2458177.613,2018-02-28.1109021,bo,1.45,17.074,15.33,0.044,2.678,0.108,g
2458177.845,2018-02-28.3426792,bk,1.51,15.897,15.116,0.107,3.261,0.318,g
2458177.846,2018-02-28.3439001,bk,1.54,15.994,15.211,0.107,2.989,0.291,g
2458177.847,2018-02-28.3451162,bk,1.68,15.215,>15.215,99.99,2.127,0.598,g
2458177.874,2018-02-28.3716548,bl,1.75,16.929,15.279,0.048,2.808,0.123,g
2458177.875,2018-02-28.3728722,bl,1.76,16.838,15.297,0.053,2.76,0.134,g
2458177.876,2018-02-28.3740950,bl,1.71,16.85,15.318,0.053,2.71,0.133,g
2458178.614,2018-03-01.1118917,bo,1.69,15.977,15.051,0.093,3.464,0.295,g
2458178.615,2018-03-01.1131061,bo,1.62,15.862,15.334,0.135,2.669,0.328,g
2458178.616,2018-03-01.114325,bo,1.73,15.97,15.309,0.119,2.733,0.297,g
2458178.647,2018-03-01.1447788,bp,1.54,16.158,15.351,0.104,2.628,0.25,g
2458178.648,2018-03-01.1460116,bp,1.64,16.041,15.233,0.104,2.929,0.278,g
2458178.649,2018-03-01.1472307,bp,1.63,15.743,15.411,0.161,2.487,0.367,g
2458178.85,2018-03-01.3479243,bk,1.52,15.726,15.366,0.157,2.592,0.372,g
2458178.851,2018-03-01.3491496,bk,1.65,15.84,15.274,0.13,2.823,0.335,g
2458178.852,2018-03-01.3503668,bk,1.61,15.741,15.465,0.17,2.366,0.367,g
2458178.872,2018-03-01.3697635,bl,1.61,15.799,14.95,0.1,3.803,0.348,g
2458178.873,2018-03-01.3709846,bl,1.74,15.983,15.409,0.129,2.492,0.294,g
2458178.874,2018-03-01.3722125,bl,1.64,15.954,15.65,0.166,1.995,0.302,g
2458180.008,2018-03-02.5059025,bc,1.54,15.843,14.86,0.089,4.363,0.353,V
2458180.009,2018-03-02.5071818,bc,1.46,15.87,14.974,0.096,3.929,0.345,V
2458180.011,2018-03-02.5084629,bc,1.53,15.845,14.962,0.097,3.973,0.352,V
2458181.823,2018-03-04.3211170,bs,1.47,15.99,15.064,0.093,3.425,0.292,g
2458181.825,2018-03-04.3223311,bs,1.51,16.242,15.267,0.089,2.839,0.231,g
2458181.826,2018-03-04.3235537,bs,1.47,16.02,15.372,0.121,2.578,0.284,g
2458181.86,2018-03-04.3574945,bh,1.38,15.514,14.972,0.133,3.935,0.478,V
2458181.861,2018-03-04.3587587,bh,1.5,15.586,15.364,0.178,2.745,0.447,V
2458181.862,2018-03-04.3600359,bh,1.4,15.515,15.261,0.173,3.018,0.477,V
2458181.949,2018-03-04.4469185,bt,1.55,16.453,15.315,0.077,2.717,0.191,g
2458181.95,2018-03-04.4482143,bt,1.58,16.404,15.362,0.084,2.603,0.199,g
2458181.952,2018-03-04.4494646,bt,1.56,16.432,15.309,0.078,2.732,0.194,g
2458182.833,2018-03-05.3305774,bg,1.43,15.356,14.911,0.146,4.161,0.553,V
2458182.834,2018-03-05.3318521,bg,1.36,15.41,14.754,0.12,4.814,0.526,V
2458182.835,2018-03-05.333125,bg,1.37,15.318,14.823,0.139,4.516,0.573,V
2458182.859,2018-03-05.3567535,bs,1.46,16.527,15.27,0.069,2.833,0.178,g
2458182.861,2018-03-05.3583849,bs,1.52,16.396,15.094,0.066,3.33,0.201,g
2458182.862,2018-03-05.3596447,bs,1.48,16.298,15.198,0.08,3.026,0.22,g
2458182.863,2018-03-05.3608922,bt,1.63,16.286,15.202,0.081,3.015,0.222,g
2458182.864,2018-03-05.3621460,bt,1.67,16.403,15.236,0.075,2.923,0.2,g
2458182.866,2018-03-05.3633755,bt,1.62,16.494,15.443,0.083,2.414,0.184,g
2458183.877,2018-03-06.3751806,bs,2.36,16.467,15.277,0.073,2.813,0.188,g
2458183.879,2018-03-06.3764041,bs,2.39,16.443,15.318,0.078,2.71,0.192,g
2458183.88,2018-03-06.3776182,bs,2.38,16.437,15.227,0.072,2.946,0.193,g
2458183.882,2018-03-06.3795787,bt,1.52,16.591,15.305,0.067,2.742,0.168,g
2458183.883,2018-03-06.3807984,bt,1.48,16.596,15.322,0.068,2.699,0.167,g
2458183.884,2018-03-06.3820159,bt,1.48,16.641,15.33,0.065,2.679,0.16,g
2458184.879,2018-03-07.3762778,bt,1.45,16.816,15.403,0.06,2.505,0.136,g
2458184.88,2018-03-07.3775039,bt,1.47,16.755,15.346,0.06,2.639,0.144,g
2458184.881,2018-03-07.3787217,bt,1.45,16.669,15.316,0.063,2.714,0.156,g
2458186.812,2018-03-09.3099877,bs,1.62,17.021,15.335,0.046,2.667,0.113,g
2458186.814,2018-03-09.3112171,bs,1.62,16.903,15.281,0.049,2.804,0.126,g
2458186.815,2018-03-09.3124364,bs,1.57,16.919,15.305,0.049,2.743,0.124,g
2458186.831,2018-03-09.3284939,bt,1.5,16.891,15.287,0.05,2.787,0.127,g
2458186.832,2018-03-09.3297234,bt,1.54,16.891,15.303,0.051,2.747,0.127,g
2458186.833,2018-03-09.3309400,bt,1.48,17.004,15.222,0.042,2.959,0.115,g
2458187.809,2018-03-10.3068644,bt,1.52,16.66,15.264,0.06,2.845,0.158,g
2458187.811,2018-03-10.3080809,bt,1.5,16.946,15.4,0.053,2.513,0.121,g
2458187.812,2018-03-10.3092997,bt,1.52,17.012,15.42,0.05,2.465,0.114,g
2458188.804,2018-03-11.3012892,bs,1.52,99.99,99.99,99.99,99.99,99.99,g
2458188.805,2018-03-11.3025060,bs,1.47,16.488,15.249,0.07,2.889,0.185,g
2458188.806,2018-03-11.3037226,bs,1.5,99.99,99.99,99.99,99.99,99.99,g
2458188.83,2018-03-11.3277133,bt,1.52,16.211,15.187,0.085,3.056,0.238,g
2458188.832,2018-03-11.3289384,bt,1.5,15.906,15.238,0.118,2.916,0.315,g
2458188.833,2018-03-11.3301604,bt,1.48,16.072,15.358,0.113,2.612,0.271,g
2458189.837,2018-03-12.3345097,bk,1.43,17.045,15.283,0.043,2.799,0.111,g
2458189.838,2018-03-12.3357303,bk,1.45,17.058,15.315,0.044,2.716,0.109,g
2458189.84,2018-03-12.3369481,bk,1.41,16.972,15.333,0.048,2.672,0.118,g
2458190.867,2018-03-13.3640322,bl,1.47,17.016,15.267,0.044,2.839,0.114,g
2458190.868,2018-03-13.3652474,bl,1.44,17.062,15.325,0.044,2.693,0.109,g
2458190.869,2018-03-13.3664634,bl,1.45,16.946,15.358,0.051,2.612,0.121,g
2458190.976,2018-03-13.4730656,bs,1.46,17.268,15.289,0.035,2.783,0.09,g
2458190.977,2018-03-13.4742820,bs,1.44,17.189,15.215,0.035,2.976,0.097,g
2458190.978,2018-03-13.4754956,bs,1.43,17.226,15.231,0.035,2.937,0.094,g
2458193.811,2018-03-16.3081640,bt,1.52,17.115,15.258,0.039,2.862,0.104,g
2458193.812,2018-03-16.3093803,bt,1.48,17.09,15.296,0.042,2.764,0.106,g
2458193.813,2018-03-16.3106403,bt,1.49,17.098,15.287,0.041,2.786,0.105,g
2458193.879,2018-03-16.3759994,bs,1.52,17.22,15.287,0.037,2.785,0.094,g
2458193.88,2018-03-16.3772196,bs,1.55,17.249,15.328,0.037,2.682,0.092,g
2458193.881,2018-03-16.3784467,bs,1.54,17.259,15.26,0.035,2.859,0.091,g
2458194.822,2018-03-17.3194931,bs,1.51,15.778,15.463,0.164,2.371,0.355,g
2458194.824,2018-03-17.3207107,bs,1.55,16.022,15.76,0.172,1.803,0.284,g
2458194.825,2018-03-17.3219296,bs,1.51,15.822,15.702,0.197,1.901,0.342,g
2458195.016,2018-03-17.5132722,bt,1.69,15.99,15.286,0.115,2.792,0.292,g
2458195.599,2018-03-18.0957233,bp,1.59,17.042,15.23,0.041,2.939,0.111,g
2458195.6,2018-03-18.0969350,bp,1.59,17.102,15.247,0.04,2.894,0.105,g
2458195.601,2018-03-18.0981459,bp,1.63,17.105,15.253,0.04,2.875,0.105,g
2458195.897,2018-03-18.3938719,bl,1.55,16.997,15.262,0.044,2.853,0.115,g
2458195.898,2018-03-18.3950962,bl,1.5,16.932,15.245,0.046,2.897,0.123,g
2458195.899,2018-03-18.3963229,bl,1.52,16.967,15.268,0.046,2.838,0.119,g
2458196.596,2018-03-19.0925744,bp,1.58,17.16,15.23,0.037,2.938,0.099,g
2458196.597,2018-03-19.0937934,bp,1.54,17.136,15.243,0.038,2.903,0.102,g
2458196.598,2018-03-19.0950001,bp,1.52,17.16,15.291,0.039,2.778,0.099,g
2458196.771,2018-03-19.2683278,bs,1.93,14.793,>14.793,99.99,3.741,0.879,g
2458196.773,2018-03-19.2695523,bs,1.86,99.99,99.99,99.99,99.99,99.99,g
2458196.774,2018-03-19.2707646,bs,1.76,15.031,>15.031,99.99,2.85,0.706,g
2458197.031,2018-03-19.5284901,bc,1.39,15.148,>15.148,99.99,3.208,0.669,V
2458197.033,2018-03-19.5297656,bc,1.38,15.285,15.259,0.214,3.021,0.591,V
2458197.034,2018-03-19.5310418,bc,1.35,16.169,14.777,0.062,4.71,0.264,V
2458197.83,2018-03-20.3273848,bl,1.44,17.036,15.322,0.045,2.698,0.111,g
2458197.832,2018-03-20.3286017,bl,1.48,17.099,15.267,0.04,2.841,0.105,g
2458197.833,2018-03-20.3298203,bl,1.47,17.178,15.225,0.036,2.951,0.098,g
2458198.86,2018-03-21.3571179,bk,1.47,17.012,15.308,0.046,2.733,0.114,g
2458198.861,2018-03-21.3583384,bk,1.47,16.941,15.242,0.046,2.905,0.122,g
2458198.863,2018-03-21.3595570,bk,1.45,17.062,15.165,0.038,3.119,0.109,g
2458199.814,2018-03-22.3105726,bt,1.48,17.176,15.294,0.039,2.771,0.098,g
2458199.815,2018-03-22.3117950,bt,1.47,17.145,15.229,0.037,2.94,0.101,g
2458199.816,2018-03-22.3130177,bt,1.47,17.149,15.338,0.041,2.659,0.1,g
2458199.878,2018-03-22.3745649,bs,1.46,17.206,15.329,0.039,2.682,0.095,g
2458199.879,2018-03-22.3757814,bs,1.45,17.278,15.246,0.034,2.896,0.089,g
2458199.88,2018-03-22.3769988,bs,1.42,17.207,15.203,0.034,3.011,0.095,g
2458201.764,2018-03-24.2605297,bs,1.64,16.791,15.26,0.053,2.858,0.14,g
2458201.765,2018-03-24.2617501,bs,1.58,16.766,15.364,0.06,2.596,0.143,g
2458201.766,2018-03-24.2629678,bs,1.61,16.697,15.289,0.06,2.783,0.152,g
2458203.789,2018-03-26.2856611,bt,1.5,16.828,15.228,0.05,2.942,0.135,g
2458203.79,2018-03-26.2868751,bt,1.52,16.805,15.223,0.051,2.959,0.138,g
2458203.791,2018-03-26.2880952,bt,1.47,16.592,15.297,0.066,2.762,0.168,g
2458203.804,2018-03-26.3005934,bs,1.48,16.57,15.415,0.076,2.477,0.171,g
2458203.805,2018-03-26.3018137,bs,1.5,16.543,15.304,0.07,2.746,0.175,g
2458203.806,2018-03-26.3030267,bs,1.51,16.46,15.194,0.068,3.04,0.189,g
2458204.786,2018-03-27.2832071,bk,1.61,16.98,15.26,0.045,2.858,0.117,g
2458204.788,2018-03-27.2844326,bk,1.62,16.935,15.218,0.045,2.969,0.122,g
2458204.789,2018-03-27.2856474,bk,1.58,17.042,15.336,0.045,2.664,0.111,g
2458204.821,2018-03-27.3177090,bl,1.46,17.044,15.29,0.043,2.778,0.111,g
2458204.822,2018-03-27.3189329,bl,1.45,16.976,15.289,0.046,2.782,0.118,g
2458204.823,2018-03-27.3201468,bl,1.45,16.989,15.238,0.044,2.916,0.116,g
2458205.528,2018-03-28.0247597,bo,1.49,16.463,15.319,0.076,2.706,0.189,g
2458205.529,2018-03-28.0259783,bo,1.48,16.519,15.276,0.07,2.818,0.179,g
2458205.531,2018-03-28.0272405,bo,1.48,16.39,15.26,0.077,2.856,0.202,g
2458205.555,2018-03-28.0513694,bp,1.57,16.911,15.173,0.044,3.099,0.125,g
2458205.556,2018-03-28.0525834,bp,1.52,17.017,15.251,0.043,2.881,0.113,g
2458205.557,2018-03-28.0537916,bp,1.52,17.019,15.308,0.045,2.735,0.113,g
2458206.888,2018-03-29.3850398,bc,1.45,15.983,15.055,0.093,3.647,0.311,V
2458206.89,2018-03-29.3863109,bc,1.43,15.951,14.858,0.08,4.375,0.32,V
2458206.891,2018-03-29.3875914,bc,1.41,15.902,14.908,0.088,4.175,0.334,V
2458207.819,2018-03-30.3152729,bs,1.57,16.185,15.268,0.094,2.836,0.244,g
2458207.82,2018-03-30.3164871,bs,1.58,16.212,15.228,0.089,2.943,0.238,g
2458207.821,2018-03-30.3177188,bs,1.6,16.328,15.374,0.091,2.572,0.214,g
2458207.965,2018-03-30.4617319,bd,1.53,16.059,14.833,0.071,4.475,0.29,V
2458207.966,2018-03-30.4630865,bd,1.5,15.994,14.791,0.072,4.651,0.307,V
2458207.968,2018-03-30.4643543,bd,1.46,16.154,14.797,0.063,4.627,0.265,V
2458208.838,2018-03-31.3349375,bs,1.55,16.055,15.33,0.112,2.679,0.275,g
2458208.84,2018-03-31.3361569,bs,1.48,15.952,15.284,0.118,2.796,0.302,g
2458208.841,2018-03-31.3373736,bs,1.55,16.004,15.385,0.124,2.547,0.288,g
2458209.905,2018-04-01.4017434,bd,1.46,15.644,14.99,0.12,3.874,0.424,V
2458209.906,2018-04-01.4030192,bd,1.48,15.693,15.002,0.116,3.829,0.405,V
2458209.908,2018-04-01.4043002,bd,1.46,15.65,14.905,0.11,4.184,0.422,V
2458210.547,2018-04-02.0440138,bp,1.58,15.777,15.044,0.112,3.487,0.355,g
2458210.549,2018-04-02.0452209,bp,1.6,15.813,15.412,0.152,2.484,0.343,g
2458210.55,2018-04-02.0464277,bp,1.55,15.677,14.961,0.113,3.761,0.389,g
2458211.762,2018-04-03.2582638,bt,1.47,16.108,15.48,0.123,2.334,0.262,g
2458211.763,2018-04-03.2595098,bt,1.51,16.213,15.165,0.083,3.119,0.238,g
2458211.764,2018-04-03.2607393,bt,1.53,16.089,15.294,0.105,2.769,0.266,g
2458212.768,2018-04-04.2646586,bt,2.48,16.228,15.022,0.072,3.56,0.234,g
2458212.769,2018-04-04.2658743,bt,2.46,16.176,15.112,0.082,3.274,0.246,g
2458212.841,2018-04-04.3378180,bk,1.66,15.981,15.448,0.134,2.404,0.294,g
2458212.843,2018-04-04.3390376,bk,1.57,16.005,15.346,0.12,2.639,0.288,g
2458212.844,2018-04-04.3402696,bk,1.63,15.955,15.118,0.101,3.257,0.301,g
2458213.721,2018-04-05.2177525,bs,1.57,99.99,99.99,99.99,99.99,99.99,g
2458213.723,2018-04-05.2189723,bs,1.57,99.99,99.99,99.99,99.99,99.99,g
2458213.724,2018-04-05.2201899,bs,1.58,17.104,15.288,0.041,2.785,0.105,g
2458213.751,2018-04-05.2473871,bt,1.52,16.435,15.168,0.068,3.109,0.194,g
2458213.752,2018-04-05.2486048,bt,1.5,16.566,15.296,0.068,2.765,0.172,g
2458213.753,2018-04-05.2498341,bt,1.52,16.61,15.371,0.07,2.578,0.165,g
2458215.75,2018-04-07.2459859,bt,1.58,16.373,15.209,0.075,2.994,0.205,g
2458215.751,2018-04-07.2472010,bt,1.55,16.404,15.387,0.086,2.542,0.199,g
2458215.752,2018-04-07.2484197,bt,1.5,16.209,15.362,0.1,2.602,0.239,g
2458216.569,2018-04-08.0658175,bo,1.51,16.568,15.233,0.064,2.929,0.171,g
2458216.571,2018-04-08.0670412,bo,1.49,16.682,15.305,0.062,2.742,0.154,g
2458216.572,2018-04-08.0682590,bo,1.51,16.69,15.247,0.058,2.892,0.153,g
2458216.577,2018-04-08.0732241,bp,1.54,16.778,15.209,0.052,2.996,0.141,g
2458216.578,2018-04-08.0744324,bp,1.51,99.99,99.99,99.99,99.99,99.99,g
2458216.579,2018-04-08.0756479,bp,1.55,99.99,99.99,99.99,99.99,99.99,g
2458216.738,2018-04-08.2343974,bt,1.52,17.028,15.264,0.043,2.846,0.112,g
2458216.739,2018-04-08.2356115,bt,1.52,17.065,15.253,0.041,2.876,0.108,g
2458216.74,2018-04-08.2368341,bt,1.53,17.102,15.241,0.039,2.908,0.105,g
2458217.717,2018-04-09.2131717,bs,1.51,16.921,15.256,0.047,2.867,0.124,g
2458217.718,2018-04-09.2146915,bs,1.49,99.99,99.99,99.99,99.99,99.99,g
2458217.853,2018-04-09.3498056,bt,1.56,17.139,15.327,0.041,2.685,0.101,g
2458219.738,2018-04-11.2346453,bs,1.41,99.99,99.99,99.99,99.99,99.99,g
2458220.749,2018-04-12.2455354,bt,2.12,17.009,15.246,0.043,2.894,0.114,g
2458220.751,2018-04-12.2467920,bt,2.15,16.952,15.395,0.052,2.522,0.12,g
2458220.752,2018-04-12.2480776,bt,2.14,16.915,15.259,0.047,2.861,0.125,g
2458220.799,2018-04-12.2952834,bs,1.64,17.081,15.29,0.042,2.781,0.107,g
2458221.771,2018-04-13.2668695,bs,1.53,16.482,15.234,0.069,2.926,0.186,g
2458223.814,2018-04-15.3099785,bk,1.55,16.938,15.253,0.046,2.877,0.122,g
2458223.816,2018-04-15.3124165,bk,1.52,17.097,15.31,0.042,2.729,0.105,g
2458223.821,2018-04-15.3175854,bl,1.47,16.832,15.2,0.049,3.022,0.135,g
2458223.823,2018-04-15.3188075,bl,1.51,16.932,15.337,0.05,2.664,0.123,g
2458223.824,2018-04-15.3200263,bl,1.55,16.957,15.266,0.046,2.842,0.12,g
2458224.758,2018-04-16.2543465,bt,1.46,16.867,15.317,0.052,2.712,0.13,g
2458224.759,2018-04-16.2555539,bt,1.44,16.882,15.272,0.05,2.828,0.129,g
2458224.761,2018-04-16.2567833,bt,1.5,16.79,15.185,0.05,3.061,0.14,g
2458224.825,2018-04-16.3210034,bs,1.43,17.163,15.216,0.036,2.975,0.099,g
2458224.826,2018-04-16.3222209,bs,1.46,17.171,15.263,0.038,2.848,0.099,g
2458226.069,2018-04-17.5649692,bc,1.33,15.033,>15.033,99.99,2.958,0.744,V
2458226.07,2018-04-17.5662423,bc,1.38,15.328,14.96,0.156,3.978,0.568,V
2458226.071,2018-04-17.5675192,bc,1.32,15.132,>15.132,99.99,2.624,0.68,V
2458226.909,2018-04-18.4047555,bd,1.46,15.06,14.695,0.156,5.083,0.726,V
2458226.91,2018-04-18.4060271,bd,1.48,15.164,14.975,0.184,3.927,0.66,V
2458226.911,2018-04-18.4073030,bd,1.44,15.378,15.04,0.161,3.696,0.542,V
2458226.94,2018-04-18.4357677,bc,1.38,14.006,>14.006,99.99,6.747,1.918,V
2458226.941,2018-04-18.4370409,bc,1.31,13.895,>13.895,99.99,3.207,2.122,V
2458226.942,2018-04-18.4383012,bc,1.52,99.99,99.99,99.99,99.99,99.99,V
2458227.767,2018-04-19.2629290,bs,2.04,14.262,>14.262,99.99,1.214,1.433,g
2458227.768,2018-04-19.2641466,bs,1.98,99.99,99.99,99.99,99.99,99.99,g
2458227.773,2018-04-19.2690931,bl,1.52,17.036,15.231,0.041,2.937,0.112,g
2458227.774,2018-04-19.2703149,bl,1.53,16.998,15.348,0.048,2.636,0.116,g
2458227.775,2018-04-19.2715298,bl,1.52,16.982,15.289,0.046,2.785,0.117,g
2458229.837,2018-04-21.3326334,bk,1.42,16.967,15.359,0.05,2.609,0.119,g
2458229.922,2018-04-21.4178469,bd,1.49,15.787,14.883,0.095,4.27,0.372,V
2458230.741,2018-04-22.2374954,bl,1.51,16.993,15.251,0.044,2.882,0.116,g
2458230.743,2018-04-22.2387170,bl,1.54,17.035,15.313,0.045,2.722,0.112,g
2458230.744,2018-04-22.2399333,bl,1.53,17.033,15.271,0.043,2.828,0.112,g
2458230.848,2018-04-22.3444662,bc,1.37,14.722,>14.722,99.99,3.434,0.992,V
2458230.85,2018-04-22.3457442,bc,1.41,14.58,>14.580,99.99,3.816,1.131,V
2458231.017,2018-04-22.5132959,bc,1.35,15.143,14.9,0.175,4.208,0.673,V
2458231.018,2018-04-22.5145721,bc,1.37,15.689,14.865,0.102,4.346,0.407,V
2458231.02,2018-04-22.5158469,bc,1.41,15.321,14.857,0.143,4.376,0.571,V
2458231.731,2018-04-23.2268100,bs,1.44,99.99,99.99,99.99,99.99,99.99,g
2458231.732,2018-04-23.2280290,bs,1.43,16.676,15.163,0.054,3.123,0.155,g
2458232.071,2018-04-23.5667913,bc,1.5,16.387,14.951,0.058,4.011,0.214,V
2458232.072,2018-04-23.5680593,bc,1.46,16.412,14.886,0.054,4.26,0.21,V
2458232.715,2018-04-24.2107694,bg,1.63,99.99,99.99,99.99,99.99,99.99,V
2458232.716,2018-04-24.2120599,bg,1.64,99.99,99.99,99.99,99.99,99.99,V
2458232.717,2018-04-24.2133335,bg,1.34,99.99,99.99,99.99,99.99,99.99,V
2458232.851,2018-04-24.3472197,bd,1.5,16.178,14.86,0.065,4.364,0.259,V
2458232.852,2018-04-24.3484961,bd,1.54,16.283,14.883,0.06,4.275,0.236,V
2458232.854,2018-04-24.3497703,bd,1.49,16.344,15.008,0.064,3.809,0.223,V
2458232.906,2018-04-24.4022307,bs,1.45,99.99,99.99,99.99,99.99,99.99,g
2458232.907,2018-04-24.4034414,bs,1.45,99.99,99.99,99.99,99.99,99.99,g
2458232.909,2018-04-24.4046638,bs,1.47,99.99,99.99,99.99,99.99,99.99,g
2458233.018,2018-04-24.5138027,bd,1.47,16.425,14.752,0.047,4.822,0.207,V
2458233.019,2018-04-24.5150788,bd,1.46,16.538,14.98,0.052,3.91,0.186,V
2458233.02,2018-04-24.5163538,bd,1.44,16.564,14.921,0.048,4.127,0.182,V
2458233.087,2018-04-24.5826561,bc,1.41,16.586,14.86,0.045,4.366,0.178,V
2458233.088,2018-04-24.5839528,bc,1.39,16.554,14.95,0.05,4.019,0.184,V
2458233.457,2018-04-24.9535822,bo,1.41,16.04,15.143,0.096,3.182,0.279,g
2458233.459,2018-04-24.9547888,bo,1.49,15.853,15.253,0.126,2.876,0.331,g
2458233.46,2018-04-24.9559913,bo,1.47,16.291,15.347,0.092,2.637,0.221,g
2458233.481,2018-04-24.9768622,bp,1.51,15.959,15.316,0.121,2.715,0.301,g
2458233.482,2018-04-24.9780776,bp,1.52,16.563,15.182,0.061,3.072,0.172,g
2458233.483,2018-04-24.9792940,bp,1.55,16.394,15.247,0.076,2.891,0.201,g
2458233.693,2018-04-25.1887962,bk,1.5,16.324,15.28,0.084,2.807,0.215,g
2458233.694,2018-04-25.1900171,bk,1.39,16.406,15.155,0.069,3.146,0.199,g
2458233.703,2018-04-25.1991829,bt,1.68,16.28,15.261,0.086,2.855,0.223,g
2458233.704,2018-04-25.2004028,bt,1.58,16.085,15.172,0.095,3.099,0.267,g
2458234.926,2018-04-26.4225349,bt,1.65,16.568,15.227,0.064,2.945,0.171,g
2458234.928,2018-04-26.4237489,bt,1.71,16.681,15.241,0.058,2.907,0.155,g
2458234.929,2018-04-26.4249688,bt,1.64,16.73,15.363,0.062,2.599,0.148,g
2458236.7,2018-04-28.1960001,bg,1.34,15.189,14.717,0.142,4.978,0.645,V
2458236.701,2018-04-28.1972759,bg,1.37,15.124,14.892,0.177,4.237,0.684,V
2458236.702,2018-04-28.1985541,bg,1.36,15.221,15.13,0.202,3.403,0.626,V
2458236.799,2018-04-28.2949842,bh,1.41,15.15,14.915,0.177,4.151,0.669,V
2458236.8,2018-04-28.2962513,bh,1.54,14.517,>14.517,99.99,4.058,1.197,V
2458236.801,2018-04-28.2975143,bh,1.7,99.99,99.99,99.99,99.99,99.99,V
2458238.699,2018-04-30.1948611,bg,1.52,15.002,14.795,0.181,4.632,0.766,V
